Year,Anomaly (deg C),Color
1850,-0.417711389625,#409fe2
1851,-0.23334979634583333,#1d7ec3
1852,-0.22939907208333332,#1371b4
1853,-0.27035444275,#1d7ec3
1854,-0.29152084683333335,#1d7ec3
1855,-0.29691675740833334,#1d7ec3
1856,-0.320353709625,#2b8dd3
1857,-0.46723004291666664,#57adea
1858,-0.38876568333333333,#409fe2
1859,-0.28126517058333333,#1d7ec3
1860,-0.3901651817916667,#409fe2
1861,-0.42911293441666665,#409fe2
1862,-0.5363693608333333,#57adea
1863,-0.3442440683333334,#2b8dd3
1864,-0.46546507416666666,#57adea
1865,-0.33248133595833335,#2b8dd3
1866,-0.34128749883333337,#2b8dd3
1867,-0.35699411375000006,#2b8dd3
1868,-0.3518271554166667,#2b8dd3
1869,-0.316591952375,#2b8dd3
1870,-0.32792751775,#2b8dd3
1871,-0.36856274804166667,#2b8dd3
1872,-0.3281105804166667,#2b8dd3
1873,-0.34129689958333337,#2b8dd3
1874,-0.373251189975,#2b8dd3
1875,-0.3756259423333333,#2b8dd3
1876,-0.424109911875,#409fe2
1877,-0.10110884191666668,#0a619f
1878,-0.011315189583333336,#04538c
1879,-0.30363432270833335,#1d7ec3
1880,-0.3158320625416667,#2b8dd3
1881,-0.23224552966666667,#1d7ec3
1882,-0.2955300827083333,#1d7ec3
1883,-0.34647440583333333,#2b8dd3
1884,-0.49232006916666665,#57adea
1885,-0.47112358083333333,#57adea
1886,-0.42090361416666666,#409fe2
1887,-0.49878575708333334,#57adea
1888,-0.379378885,#2b8dd3
1889,-0.2498955585875,#1d7ec3
1890,-0.5068581629166666,#57adea
1891,-0.40131494558333336,#409fe2
1892,-0.5075585279166667,#57adea
1893,-0.4946192231666666,#57adea
1894,-0.4837639279166666,#57adea
1895,-0.448751605,#409fe2
1896,-0.28400726483333333,#1d7ec3
1897,-0.2598001540166667,#1d7ec3
1898,-0.48579211749999995,#57adea
1899,-0.3554336572916667,#2b8dd3
1900,-0.23449389995833333,#1d7ec3
1901,-0.29341025522083336,#1d7ec3
1902,-0.4389565354166667,#409fe2
1903,-0.5332871033333334,#57adea
1904,-0.5975110558333333,#6fbcf3
1905,-0.40779322625,#409fe2
1906,-0.319108787625,#2b8dd3
1907,-0.5040762954166667,#57adea
1908,-0.5138197,#57adea
1909,-0.5356871641666666,#57adea
1910,-0.5309095004166666,#57adea
1911,-0.5390790479166666,#6fbcf3
1912,-0.4755386441666667,#57adea
1913,-0.4670110893333333,#57adea
1914,-0.26243657416666666,#1d7ec3
1915,-0.191672192375,#1371b4
1916,-0.4200231570833333,#409fe2
1917,-0.5428196804166666,#6fbcf3
1918,-0.424364097,#409fe2
1919,-0.32528906274999997,#2b8dd3
