Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%),Year,Color
1850-01,-0.674564375,-1.3157626,-0.48547474,1850,#86c9f9
1850-02,-0.33341598,-0.7109823,0.40955263,1850,#2b8dd3
1850-03,-0.591322635,-1.0339669,0.027444389,1850,#6fbcf3
1850-04,-0.588721155,-1.05942,-0.2871378,1850,#6fbcf3
1850-05,-0.50881654,-0.91343546,-0.30358243,1850,#57adea
1850-06,-0.344240115,-0.43304595,0.046094097,1850,#2b8dd3
1850-07,-0.1597901975,-0.27363744,0.1506334,1850,#1371b4
1850-08,-0.207654294,-0.20255424,0.23378816,1850,#1371b4
1850-09,-0.38470693499999997,-0.51458853,-0.12122381,1850,#409fe2
1850-10,-0.533126525,-1.0042031,-0.49890593,1850,#57adea
1850-11,-0.282507524,-0.9177336,-0.2111218,1850,#1d7ec3
1850-12,-0.4036704,-0.95184433,-0.09040339,1850,#409fe2
1851-01,-0.20073939400000002,-0.47782275,0.38802132,1851,#1371b4
1851-02,-0.46933234999999995,-1.0270929,0.023752997,1851,#57adea
1851-03,-0.646053,-1.4666023,-0.5475921,1851,#86c9f9
1851-04,-0.54213259,-1.0393684,-0.33844468,1851,#6fbcf3
1851-05,-0.1976227525,-0.42022493,0.1970154,1851,#1371b4
1851-06,-0.136703557,-0.19153224,0.296469,1851,#0a619f
1851-07,-0.096815606,-0.27481246,0.16699176,1851,#0a619f
1851-08,-0.10175374715,-0.22572353,0.21330853,1851,#0a619f
1851-09,-0.09124488000000001,-0.1617215,0.33824646,1851,#0a619f
1851-10,-0.008362631999999998,-0.20520185,0.3214178,1851,#04538c
1851-11,-0.08189083250000001,-0.5516778,0.13258864,1851,#0a619f
1851-12,-0.227546215,-0.6434649,0.23149411,1851,#1371b4
1852-01,-0.37509567,-0.7845747,0.079091884,1852,#2b8dd3
1852-02,-0.476726725,-0.9803757,0.0146324765,1852,#57adea
1852-03,-0.55976833,-1.1465037,-0.20607014,1852,#6fbcf3
1852-04,-0.58537045,-1.047507,-0.3903112,1852,#6fbcf3
1852-05,-0.1274126915,-0.3296217,0.27226555,1852,#0a619f
1852-06,-0.08365913,-0.25914785,0.2162601,1852,#0a619f
1852-07,0.005029385000000001,-0.23175816,0.20789856,1852,#ffebeb
1852-08,-0.13558697,-0.2983988,0.18708634,1852,#0a619f
1852-09,-0.0019016699999999994,-0.24284929,0.20189758,1852,#04538c
1852-10,-0.172434,-0.33569223,0.19615595,1852,#1371b4
1852-11,-0.30524791349999997,-0.94428563,-0.21161628,1852,#1d7ec3
1852-12,0.0653853,-0.2651009,0.64167565,1852,#ffebeb
1853-01,-0.23259853,-0.45770353,0.36229968,1853,#1d7ec3
1853-02,-0.403722675,-0.89235723,0.05198642,1853,#409fe2
1853-03,-0.28042165700000005,-0.95961106,-0.050839797,1853,#1d7ec3
1853-04,-0.38631994999999997,-0.83266795,-0.078970015,1853,#409fe2
1853-05,-0.267888625,-0.46980825,0.14339986,1853,#1d7ec3
1853-06,-0.1423762035,-0.22391354,0.2716829,1853,#0a619f
1853-07,-0.0834405775,-0.16810787,0.3027845,1853,#0a619f
1853-08,-0.0566471,-0.11239214,0.30714056,1853,#04538c
1853-09,-0.2502504,-0.41741136,0.026648503,1853,#1d7ec3
1853-10,-0.391768,-0.6463948,-0.11790625,1853,#409fe2
1853-11,-0.41142053,-0.944665,-0.2585154,1853,#409fe2
1853-12,-0.337399065,-0.7873917,0.06330125,1853,#2b8dd3
1854-01,-0.381373405,-0.8631905,-0.052232027,1854,#2b8dd3
1854-02,-0.36109405,-0.8932512,0.048529956,1854,#2b8dd3
1854-03,-0.242699563,-0.5437008,0.37361255,1854,#1d7ec3
1854-04,-0.33383243,-0.61222345,-0.010424885,1854,#2b8dd3
1854-05,-0.28948208000000003,-0.46373194,0.08044942,1854,#1d7ec3
1854-06,-0.29902687499999997,-0.56954306,-0.12955396,1854,#1d7ec3
1854-07,-0.17864198,-0.14208508,0.27648503,1854,#1371b4
1854-08,-0.23944736899999997,-0.15383554,0.25548905,1854,#1d7ec3
1854-09,-0.21674345,-0.3229944,0.07688745,1854,#1371b4
1854-10,-0.09526510500000002,-0.056543734,0.39023218,1854,#0a619f
1854-11,-0.410292045,-0.63791156,0.074700885,1854,#409fe2
1854-12,-0.45035180999999996,-0.5648922,0.24717484,1854,#409fe2
1855-01,-0.1591962309,-0.38630062,0.39323407,1855,#1371b4
1855-02,-0.31344938,-0.83125734,0.08974244,1855,#2b8dd3
1855-03,-0.34401497000000003,-0.8259379,0.11860443,1855,#2b8dd3
1855-04,-0.218203373,-0.24709193,0.37855983,1855,#1371b4
1855-05,-0.38729366000000004,-0.558715,0.08618193,1855,#409fe2
1855-06,-0.33296261,-0.40413588,0.052413467,1855,#2b8dd3
1855-07,-0.33298931,-0.41766015,-0.010818068,1855,#2b8dd3
